<<<<<<< HEAD
city_y,id,log_price,price,accommodates,bathrooms,cleaning_fee,latitude,longitude,number_of_reviews,review_scores_rating,zip,bedrooms,beds,zip_lat,zip_lng,population,density
South Gate,1620039,3.496507561,32.99992239,1,1,1,33.94409165,-118.1629091,12,88,90280,1,1,33.94467,-118.19268,94396,4989.2
Pacoima,16287487,3.662574479,38.96142349,1.5,1.25,0.5,34.26303495,-118.4060668,3,95,91331,1.5,1.5,34.25563,-118.42076,103689,4522.3
Chatsworth,13493801,3.711485626,40.91444295,1.5,1,0.5,34.24646577,-118.6048573,23.5,97.5,91311,1,1,34.28937,-118.60742,36557,440
Norwalk,4821748,3.733685533,41.83289626,1,1,1,33.89812191,-118.0822308,11.5,97,90650,0.5,1,33.90685,-118.08263,105549,4154.1
La Puente,5368963,3.747770972,42.42629992,5,1.5,1,34.05773144,-117.9746816,4,97.5,91746,2.5,2.5,34.04426,-117.98625,30485,2113.3
Gardena,13084346,3.80666249,44.99988477,3,1,1,33.89783991,-118.3011045,6,96,90247,1,1,33.8914,-118.29737,47487,4883.7
Temple City,11136854,3.80666249,44.99988477,3,1,1,34.10346416,-118.05874,11,96,91780,1,1,34.10148,-118.05547,34332,3464.2
Montebello,11310112.5,3.859342748,47.43404176,3,1,1,34.0205646,-118.11919,29,93.5,90640,1,1.5,34.01508,-118.11073,62549,2844.3
Lakewood,8119018,3.871201011,47.99987501,2,1,1,33.84715261,-118.1294407,10,100,90712,1,1,33.84901,-118.14672,31499,2839.6
Compton,13659591.5,3.871201011,47.99987501,2.5,1,1,33.90535063,-118.2193309,13.5,99,90221,1,1.5,33.88615,-118.221005,51516,3889
North Hills,9859707.5,3.890986617,48.95903852,2,1,1,34.23128763,-118.4855987,19,97.5,91343,1,1,34.23827,-118.48067,60254,3935.6
El Monte,9281174,3.891820298,48.99987173,2,1,1,34.06822769,-118.0231252,27,97,91732,1,2,34.07343,-118.01445,61386,5134
Pico Rivera,9347680,3.891820298,48.99987173,2,1,1,33.98043052,-118.0964918,39,97,90660,1,1,33.98882,-118.09063,62928,3135.2
Covina,10339185,3.891820298,48.99987173,2,1,1,34.08452148,-117.8883267,5,96,91723,1,1,34.08476,-117.88643,18275,3037.9
Glendora,14964080,3.912023005,49.99986843,4,1,1,34.13605036,-117.8651289,7,99,91741,1,2,34.15372,-117.84368,25824,672.5
Canoga Park,10812612,3.912023005,49.99986843,2,1,1,34.21025541,-118.6113205,12,97,91304,1,1,34.22466,-118.6325,50231,2062.1
Santa Fe Springs,6390159,3.912023005,49.99986843,2,1,1,33.94147514,-118.0664166,3,100,90670,1,1,33.93301,-118.06264,14866,678.3
Inglewood,10989908,3.912023005,49.99986843,2,1,1,33.96916952,-118.3496407,9.5,95,90302,1,1,33.967155,-118.35549,29415,5998.7
