neighbourhood,review_scores_rating,number_of_reviews,log_price,bedrooms,bathrooms
South Pasadena,100.0,88.0,4.553876891600541,0.0,1.0
West Athens,95.5,74.0,5.593943802987339,5.0,3.25
Eagle Rock,95.90322580645162,57.96774193548387,4.475234726683828,0.967741935483871,1.0806451612903225
Mount Washington,95.51923076923077,47.38461538461539,4.37477451703737,1.0,1.2307692307692308
Studio City,93.0,46.0,5.357208884376228,2.5,2.0
Echo Park,95.66666666666667,44.87916666666667,4.644293756139542,1.2083333333333333,1.225
Pasadena,94.5,44.5,5.576336349841806,3.0,1.5
Venice,97.27272727272727,44.36363636363637,5.306622970944867,1.9090909090909092,1.3181818181818181
Culver City,96.75862068965517,44.241379310344826,4.608911647336561,1.2758620689655173,1.3275862068965518
Atwater Village,95.57446808510639,43.87234042553192,4.703433489896537,1.3191489361702127,1.0957446808510638
Willowbrook,85.0,43.5,4.693824693473296,3.0,2.0
Cypress Park,95.4,42.9,4.414323883651165,1.2,1.1
Del Rey,93.50515463917526,42.597938144329895,4.649387938426546,1.1855670103092784,1.2216494845360826
Westchester/Playa Del Rey,95.24324324324324,42.513513513513516,4.587939482881839,1.3108108108108107,1.3243243243243243
Silver Lake,96.77054794520548,41.86643835616438,4.781391577082199,1.1746575342465753,1.1558219178082192
Hollywood Hills,95.35,41.236363636363635,4.899699500263803,1.268181818181818,1.3522727272727273
Glendale,96.85714285714286,40.42857142857143,4.718705474985366,1.5714285714285714,1.3571428571428572
Hollywood,93.42297650130548,39.753263707571804,4.633863019018906,1.0861618798955615,1.2702349869451697
Laurel Canyon,95.73170731707317,38.048780487804876,5.10166195970379,1.3902439024390243,1.3048780487804879
Westlake,92.72571428571429,37.34285714285714,4.268181194452924,0.9142857142857143,1.497142857142857
West Hollywood,95.00377358490566,37.32830188679245,4.852702943242353,1.2641509433962264,1.260377358490566
Mar Vista,95.17676767676768,36.484848484848484,4.6504109357992816,1.2272727272727273,1.2272727272727273
Highland Park,96.73584905660377,35.443396226415096,4.437644930044041,1.0377358490566038,1.179245283018868
East Los Angeles,96.22222222222223,35.05555555555556,4.426863011209092,1.2777777777777777,1.0555555555555556
Mid-City,93.57432432432432,34.87162162162162,4.263975193305081,1.2027027027027026,1.7060810810810811
Cahuenga Pass,96.52083333333333,34.291666666666664,5.154426628814808,1.625,1.5416666666666667
Los Feliz,95.54205607476635,34.242990654205606,4.679722359091113,1.1682242990654206,1.2570093457943925
West Adams,91.24193548387096,34.24193548387097,4.318704742713256,1.1612903225806452,1.2661290322580645
Mid-Wilshire,93.989336492891,33.89218009478673,4.627882522545309,1.2571090047393365,1.3382701421800949
Downtown,94.68722466960352,33.797356828193834,4.941832643437088,0.9779735682819384,1.1872246696035242
East Hollywood,93.97938144329896,32.56701030927835,4.457705612022082,1.0618556701030928,1.1030927835051547
Westmont,95.25,32.5,4.0108968996958145,2.0,1.25
Arts District,96.17857142857143,31.678571428571427,4.655078074160352,1.1071428571428572,1.2321428571428572
West Los Angeles,94.56204379562044,31.043795620437955,4.733696285231735,1.2116788321167884,1.3211678832116789
Monterey Hills,98.66666666666667,30.0,4.231397477253509,0.6666666666666666,1.0
Lincoln Heights,91.58823529411765,29.852941176470587,4.270732547374145,1.3823529411764706,1.2205882352941178
Boyle Heights,91.125,28.725,4.022787276985314,1.225,1.1
El Sereno,95.27272727272727,28.59090909090909,4.332619546508718,1.2272727272727273,1.1818181818181819
Glassell Park,97.44827586206897,27.896551724137932,4.625776282798912,1.3103448275862069,1.1724137931034482
Brentwood,94.94029850746269,26.746268656716417,4.815604629598417,1.3880597014925373,1.373134328358209
South LA,90.60714285714286,25.485714285714284,4.200843383516092,1.2,1.4321428571428572
Elysian Valley,98.0,24.846153846153847,4.73822877984033,1.6153846153846154,1.5384615384615385
Skid Row,93.6875,24.375,4.763873626756461,1.0625,1.09375
South Robertson,95.7872340425532,22.882978723404257,4.551934019413463,1.1702127659574468,1.2180851063829787
Beverly Hills,93.0,22.5,5.206047251921715,1.5,1.3125
Westside,93.6470588235294,21.08235294117647,4.670607021554561,1.1294117647058823,1.2529411764705882
Westwood,92.53947368421052,19.18421052631579,4.897855295745437,1.3486842105263157,1.361842105263158
Hermon,97.625,18.25,4.366256291625692,1.125,1.375
Palms,95.0,18.07246376811594,4.2080373201394,1.0724637681159421,1.1014492753623188
Commerce,96.0,14.0,4.3694478524670215,1.0,1.0
Bel Air/Beverly Crest,92.25,13.625,5.530208085898661,2.25,2.21875
Baldwin Hills,93.73333333333333,13.533333333333333,4.821332690620759,1.7333333333333334,1.7
Hawthorne,96.0,13.0,4.8283137373023015,1.0,1.0
Montecito Heights,97.28571428571429,12.142857142857142,4.596395275255573,1.4285714285714286,1.3571428571428572
Pacific Palisades,98.0,12.0,6.785922685464634,5.0,4.25
Florence-Graham,92.5,8.0,4.343467983001666,1.0,1.0
Santa Monica,74.33333333333333,2.6666666666666665,3.686286058340949,1.0,1.0
