,id,price,city_y,zip,latitude,longitude,neighbourhood,review_scores_rating
0,11825529,83.0,Marina Del Rey,90292,33.9804544,-118.4628207,,97.0
1,13971273,120.0,Los Angeles,90015,34.04673741,-118.2604389,Downtown,93.0
2,5385260,36.0,Rowland Heights,91748,33.99256298,-117.8959966,,90.0
3,17423675,150.0,Hermosa Beach,90254,33.87586236,-118.4032926,Hermosa Beach,97.0
4,14066228,70.0,Redondo Beach,90277,33.81322842,-118.38943359999999,Torrance,
5,583490,142.0,Long Beach,90804,33.77852647,-118.14592579999999,,100.0
6,7264511,80.0,Van Nuys,91401,34.16579488,-118.44446200000002,Sherman Oaks,98.0
7,3563677,135.0,Los Angeles,90015,34.04700251,-118.26735190000001,Downtown,99.0
8,17615783,55.0,Van Nuys,91401,34.17536014,-118.43090430000001,Valley Glen,100.0
9,851978,180.0,Los Angeles,90028,34.05158405,-118.24292309999998,,95.0
10,5520582,46.0,Los Angeles,90036,34.06407656,-118.34591019999999,Mid-Wilshire,
11,8908966,185.0,Venice,90291,33.99750602,-118.47203290000002,Venice,96.0
12,10994968,89.0,Los Angeles,90046,34.08633778,-118.36477830000001,West Hollywood,99.0
13,5559765,78.0,Los Angeles,90026,34.08630857,-118.2712267,,
14,18191678,120.0,Los Angeles,90068,34.10780278,-118.32006750000001,,
15,12428036,75.0,Los Angeles,90057,34.05542344,-118.27520439999999,Westlake,92.0
16,4014942,148.0,Los Angeles,90046,34.10259786,-118.3567757,Hollywood Hills,95.0
17,11376382,325.0,Marina Del Rey,90292,33.97570797,-118.4495962,,80.0
18,13412641,125.0,Sherman Oaks,91403,34.15649092,-118.4565176,Sherman Oaks,
19,9471893,350.0,Venice,90291,34.00181463,-118.4519074,Venice,93.0
20,1948096,80.0,Pasadena,91106,34.12973623,-118.14586100000001,Pasadena,
21,16474211,90.0,Los Angeles,90027,34.11314833,-118.28364440000001,Los Feliz,100.0
22,20269518,109.0,North Hollywood,91601,34.163804,-118.37602930000001,,100.0
23,19247305,119.0,Los Angeles,90028,34.10084366,-118.3133146,Hollywood,89.0
24,11095719,90.0,Los Angeles,90027,34.10478507,-118.3041888,Hollywood,100.0
25,7822736,100.0,Glendale,91201,34.16778109,-118.2821212,Glendale,
26,19135811,150.0,Los Angeles,90036,34.07979252,-118.34595060000001,Mid-Wilshire,
27,15956956,175.0,Los Angeles,90013,34.04503508,-118.2512598,Downtown,100.0
28,6972777,45.0,Monrovia,91016,34.14714094,-118.0211027,Arcadia,80.0
29,18840866,162.0,Burbank,91501,34.18104334,-118.3045588,Burbank,84.0
30,20761244,48.0,Culver City,90230,33.9802979,-118.3865229,,92.0
31,3976798,260.0,Los Angeles,90039,34.10762628,-118.267016,Silver Lake,100.0
32,1008814,100.0,Los Angeles,90027,34.11451937,-118.2807146,Los Feliz,100.0
33,10132073,55.0,Studio City,91604,34.15032311,-118.41022199999999,Studio City,99.0
34,14900814,479.0,Los Angeles,90026,34.07615877,-118.26710459999998,Echo Park,96.0
35,11593024,700.0,Los Angeles,90036,34.06179105,-118.3598091,Mid-Wilshire,99.0
36,4666794,45.0,Los Angeles,90028,34.10540202,-118.32101750000001,Hollywood,
37,8336708,58.0,Rowland Heights,91748,33.96985508,-117.8880916,,100.0
38,25827,280.0,Los Angeles,90042,34.12408626,-118.20176029999999,Highland Park,90.0
39,9994860,379.0,Studio City,91604,34.14310078,-118.36353390000002,Studio City,96.0
40,8813451,159.0,Pasadena,91106,34.1337402,-118.131557,Pasadena,98.0
41,14641006,200.0,Glendale,91208,34.18916142,-118.22443179999999,Glendale,100.0
42,11797378,80.0,Pasadena,91107,34.14525477,-118.094404,,98.0
43,16186033,30.0,Van Nuys,91406,34.194247100000005,-118.4678481,Van Nuys,
44,6555586,275.0,Marina Del Rey,90292,33.97936628,-118.437696,Del Rey,90.0
45,20997664,125.0,Los Angeles,90026,34.08721619,-118.25864609999999,Echo Park,90.0
46,20958545,89.0,Los Angeles,90004,34.07703888,-118.3154132,Mid-Wilshire,90.0
47,20199218,500.0,Marina Del Rey,90292,33.96717996,-118.45797160000001,Marina Del Rey,98.0
