city_y,id,price,zip,latitude,longitude,review_scores_rating
South Gate,1620039.0,33.0,90280.0,33.94409165,-118.1629091,88.0
Pacoima,16287487.0,39.5,91331.0,34.263034950000005,-118.40606685,95.0
La Puente,6211495.0,40.0,91746.0,34.05761969,-117.9737827,95.0
Norwalk,4821748.0,42.5,90650.0,33.898121904999996,-118.08223079999999,97.0
Gardena,13282336.0,44.5,90247.0,33.89758002,-118.30110765,96.0
Temple City,10682839.0,46.0,91780.0,34.10275025,-118.05902465,96.5
Montebello,11310112.5,47.5,90640.0,34.020564605000004,-118.11918994999999,93.5
Compton,13659591.5,48.0,90221.0,33.90535063,-118.21933085,99.0
El Monte,9903959.5,48.0,91732.0,34.06936127,-118.02240255,97.0
Bellflower,16114453.0,49.0,90706.0,33.89281853,-118.1179587,94.0
Pico Rivera,9347680.0,49.0,90660.0,33.98043052,-118.0964918,97.0
Covina,11305302.0,49.0,91723.0,34.08452148,-117.8805071,97.0
Huntington Park,10019388.0,50.0,90255.0,33.98567619,-118.2280575,98.0
Santa Fe Springs,6390159.0,50.0,90670.0,33.94147514,-118.0664166,100.0
Inglewood,10995924.0,50.0,90302.0,33.96965342,-118.3497883,95.0
Canoga Park,11054392.5,51.5,91304.0,34.209948260000004,-118.60949729999999,95.0
Lakewood,8938352.0,52.5,90712.0,33.84771097,-118.1259781,99.5
Monrovia,13626546.5,54.5,91016.0,34.14493133,-118.00860385,95.0
Alhambra,12788638.5,54.5,91801.0,34.08660752,-118.13206840000001,95.0
Panorama City,6054194.0,55.0,91402.0,34.23408988,-118.4527374,97.0
North Hills,11260343.0,55.0,91343.0,34.23481913,-118.4779855,98.0
Sylmar,12719143.0,57.0,91342.0,34.30385823,-118.4215907,95.5
Sunland,17812268.0,57.5,91040.0,34.27606427,-118.3873983,100.0
Glendora,14986037.5,57.5,91741.0,34.136213670000004,-117.87180460000002,99.5
Lynwood,7246315.0,58.0,90262.0,33.91833502,-118.208689,90.0
Monterey Park,11780175.0,59.0,91754.0,34.0570912,-118.13080735,95.0
West Covina,8542472.0,59.5,91791.0,34.048318519999995,-117.90008545,94.5
La Mirada,16657847.5,59.5,90638.0,33.91005385,-118.00142605,97.0
South El Monte,14013142.0,60.0,91733.0,34.03618397,-118.0420913,99.0
Torrance,14118277.0,60.0,90504.0,33.830733295,-118.33983685,97.0
Duarte,10277947.5,61.5,91010.0,34.143935694999996,-117.9707558,96.5
Lomita,10855598.5,61.5,90717.0,33.79289948,-118.3146552,94.5
Granada Hills,10499876.0,61.5,91344.0,34.269947880000004,-118.50018675,94.5
Bell Gardens,4481427.0,62.0,90201.0,33.97119436,-118.1880057,96.0
Downey,12837932.0,63.0,90241.0,33.94585992,-118.118701,98.0
Winnetka,10680745.0,64.0,91306.0,34.20438741,-118.5733089,98.0
Carson,9005718.5,65.0,90745.0,33.828197445,-118.26548345,97.0
San Gabriel,12134864.0,65.0,91776.0,34.0825103,-118.09531425,94.0
Harbor City,9494936.5,66.5,90710.0,33.798779815,-118.30203625,97.5
Reseda,11646845.5,67.0,91335.0,34.196170705,-118.5385869,97.5
Cerritos,15204760.0,68.0,90703.0,33.86386046,-118.0612425,97.0
Azusa,13578783.5,69.0,91702.0,34.138888425000005,-117.90888709999999,100.0
