,id,host_since,city_y,property_type,log_price,review_scores_rating
20338,20914641,2008-06-27,Culver City,Condominium,4.804021044733257,80.0
2197,2519442,2008-07-11,Burbank,House,5.123963979403259,80.0
19285,20993772,2008-07-31,Los Angeles,Apartment,4.787491742782046,100.0
14405,20709369,2008-09-17,Santa Monica,Apartment,4.976733742420574,96.0
11979,10225348,2008-09-23,Los Angeles,House,5.54907608489522,97.0
6787,9012988,2008-10-02,Los Angeles,House,4.3694478524670215,100.0
402,12854724,2008-10-02,Los Angeles,House,4.454347296253506,100.0
11021,19049166,2008-10-02,Los Angeles,House,4.3694478524670215,100.0
16030,16095512,2008-10-02,Canyon Country,Apartment,3.610917912644224,80.0
7813,9921366,2008-10-16,Studio City,Other,5.135798437050261,96.0
13676,2023454,2008-10-16,Studio City,House,5.521460917862246,93.0
13717,13315699,2008-12-25,West Hollywood,Apartment,5.416100402204419,90.0
4841,17684031,2009-01-16,Los Angeles,House,5.293304824724492,93.0
9935,6967723,2009-01-16,Los Angeles,House,4.605170185988092,96.0
20145,12855566,2009-01-16,Los Angeles,House,3.6635616461296463,94.0
15910,17811619,2009-01-16,Los Angeles,House,3.9889840465642745,97.0
20855,15208609,2009-01-16,Los Angeles,House,4.23410650459726,97.0
16911,13643020,2009-02-12,Santa Monica,Apartment,4.248495242049359,77.0
9133,13018742,2009-02-12,Los Angeles,Apartment,4.553876891600541,95.0
19828,14267804,2009-02-12,Los Angeles,House,4.219507705176107,98.0
11138,6437565,2009-03-05,Los Angeles,House,5.713732805509371,87.0
12919,16548251,2009-03-05,Los Angeles,House,4.653960350157523,94.0
16070,17403713,2009-03-05,Los Angeles,Cabin,4.31748811353631,94.0
14031,16930512,2009-03-09,Marina Del Rey,Apartment,4.553876891600541,100.0
2872,13622777,2009-03-17,Los Angeles,House,3.688879454113936,97.0
4459,1673346,2009-03-17,Los Angeles,House,3.8918202981106265,97.0
14919,12603543,2009-03-28,Woodland Hills,House,5.700443573390688,83.0
6059,878390,2009-03-28,Woodland Hills,House,4.442651256490317,86.0
10724,19768713,2009-03-28,Woodland Hills,House,5.476463551931511,100.0
7822,16674313,2009-04-28,Los Angeles,Apartment,4.442651256490317,93.0
18764,16097675,2009-05-09,Los Angeles,House,4.8283137373023015,99.0
7142,6503532,2009-05-17,Venice,House,4.74493212836325,97.0
18260,9058111,2009-05-20,Los Angeles,Apartment,4.248495242049359,93.0
15445,17715213,2009-05-27,Los Angeles,Apartment,4.700480365792417,94.0
4807,10069376,2009-05-28,Culver City,Apartment,4.553876891600541,94.0
10920,9728203,2009-05-28,Culver City,House,5.1647859739235145,94.0
7954,323635,2009-06-02,Los Angeles,House,4.31748811353631,92.0
9557,8683783,2009-06-19,Los Angeles,House,4.990432586778736,98.0
12786,5619212,2009-06-19,Los Angeles,Bungalow,4.23410650459726,96.0
3111,75770,2009-06-20,Beverly Hills,Apartment,4.859812404361672,96.0
7797,7033732,2009-06-21,Santa Monica,House,4.4998096703302615,92.0
13315,7322189,2009-06-21,Santa Monica,Townhouse,4.553876891600541,92.0
13738,19567173,2009-06-28,Los Angeles,Loft,4.74493212836325,93.0
13888,21172762,2009-07-13,Los Angeles,Cabin,4.07753744390572,95.0
6105,19943741,2009-07-17,North Hollywood,Apartment,3.6635616461296463,80.0
7127,12738836,2009-07-17,North Hollywood,Apartment,3.6635616461296463,90.0
5328,19996712,2009-07-17,North Hollywood,Apartment,3.951243718581428,90.0
20661,5252017,2009-07-17,North Hollywood,Apartment,3.6635616461296463,94.0
11886,6054817,2009-07-17,North Hollywood,Apartment,4.23410650459726,90.0
446,17719455,2009-07-22,Los Angeles,Apartment,3.912023005428147,90.0
308,5327035,2009-07-22,Los Angeles,Dorm,3.912023005428147,94.0
5697,2711179,2009-07-22,Venice,Dorm,3.912023005428147,90.0
311,20267865,2009-07-22,Los Angeles,Loft,3.912023005428147,89.0
92,14199379,2009-07-22,Los Angeles,Loft,3.912023005428147,96.0
12499,4217821,2009-07-22,Los Angeles,Loft,3.912023005428147,95.0
20571,3977417,2009-07-22,Los Angeles,Dorm,3.912023005428147,95.0
10603,15275381,2009-07-22,Los Angeles,House,4.553876891600541,93.0
2090,16412449,2009-07-22,Los Angeles,Apartment,4.248495242049359,90.0
18246,8697430,2009-07-22,Venice,Dorm,3.912023005428147,100.0
7219,2440357,2009-07-22,Los Angeles,Apartment,4.867534450455582,88.0
15071,13624184,2009-07-25,Los Angeles,House,5.288267030694535,96.0
824,6766169,2009-07-25,Los Angeles,Guesthouse,4.84418708645859,99.0
20289,8825588,2009-07-29,Long Beach,Loft,5.062595033026967,95.0
13480,11592012,2009-08-07,Venice,Apartment,5.0751738152338275,89.0
16790,10457791,2009-08-07,Venice,Apartment,4.4998096703302615,93.0
15320,10437887,2009-08-08,Venice,House,4.553876891600541,90.0
6225,10141109,2009-08-12,Redondo Beach,House,5.010635294096256,96.0
3008,4240663,2009-08-12,Redondo Beach,House,5.010635294096256,96.0
19210,1358963,2009-08-20,Los Angeles,Guesthouse,4.553876891600541,99.0
10561,18653426,2009-08-22,Los Angeles,Apartment,4.31748811353631,100.0
14609,1623609,2009-08-28,Los Angeles,House,4.553876891600541,96.0
3866,8032689,2009-08-28,Los Angeles,Bed & Breakfast,4.564348191467836,96.0
10191,67130,2009-08-30,Los Angeles,Guesthouse,4.4998096703302615,100.0
5972,9737362,2009-09-09,Inglewood,Apartment,4.07753744390572,90.0
7007,17924967,2009-09-14,Los Angeles,Apartment,4.30406509320417,99.0
387,9969773,2009-09-17,Redondo Beach,House,4.8283137373023015,96.0
20651,21141396,2009-09-19,Beverly Hills,Apartment,5.3706380281276624,99.0
12053,15986944,2009-09-22,Long Beach,Apartment,4.74493212836325,96.0
6405,7901557,2009-09-23,Los Angeles,House,5.010635294096256,96.0
21639,10707679,2009-09-23,Los Angeles,House,4.976733742420574,97.0
21237,10992285,2009-09-24,Los Angeles,Apartment,5.1647859739235145,97.0
5305,5006783,2009-09-24,Los Angeles,Apartment,4.59511985013459,95.0
