zip,zip_lat,zip_lng,city,state_id,state_name,population,density,county_name
601,18.180039999999998,-66.75218000000001,Adjuntas,PR,Puerto Rico,18570,111.4,Adjuntas
602,18.36073,-67.17517,Aguada,PR,Puerto Rico,41520,523.5,Aguada
603,18.45439,-67.12201999999999,Aguadilla,PR,Puerto Rico,54689,667.9,Aguadilla
606,18.16724,-66.93828,Maricao,PR,Puerto Rico,6615,60.4,Maricao
610,18.29032,-67.12243000000001,Anasco,PR,Puerto Rico,29016,312.0,Añasco
612,18.40699,-66.70803000000001,Arecibo,PR,Puerto Rico,67010,382.8,Arecibo
616,18.41753,-66.66814000000001,Bajadero,PR,Puerto Rico,11017,368.9,Arecibo
617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,24597,625.0,Barceloneta
622,17.99174,-67.15248000000001,Boqueron,PR,Puerto Rico,7853,104.6,Cabo Rojo
623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,43061,437.8,Cabo Rojo
624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,26241,234.7,Peñuelas
627,18.419,-66.86033,Camuy,PR,Puerto Rico,35159,292.8,Camuy
631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1852,177.8,Lares
637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,25287,283.4,Sabana Grande
638,18.28904,-66.5151,Ciales,PR,Puerto Rico,18941,110.7,Ciales
641,18.26408,-66.71376,Utuado,PR,Puerto Rico,31191,128.8,Utuado
646,18.43401,-66.2833,Dorado,PR,Puerto Rico,38199,711.6,Dorado
647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,6172,156.7,Guánica
650,18.34321,-66.58601,Florida,PR,Puerto Rico,14998,189.7,Florida
652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,4715,263.2,Arecibo
653,17.98574,-66.89033,Guanica,PR,Puerto Rico,13307,337.1,Guánica
656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,21481,255.9,Guayanilla
659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,41953,387.7,Hatillo
660,18.134179999999997,-67.11402,Hormigueros,PR,Puerto Rico,17250,587.0,Hormigueros
662,18.46208,-67.01445,Isabela,PR,Puerto Rico,43282,376.6,Isabela
664,18.21152,-66.5889,Jayuya,PR,Puerto Rico,16784,142.4,Jayuya
667,18.01227,-67.04089,Lajas,PR,Puerto Rico,25968,166.2,Lajas
669,18.27102,-66.86981999999999,Lares,PR,Puerto Rico,29744,186.6,Lares
670,18.23777,-66.98877,Las Marias,PR,Puerto Rico,9807,83.1,Las Marías
674,18.421229999999998,-66.49004000000001,Manati,PR,Puerto Rico,44457,381.8,Manatí
676,18.3779,-67.08083,Moca,PR,Puerto Rico,40316,308.6,Moca
677,18.3357,-67.23168000000001,Rincon,PR,Puerto Rico,15272,411.2,Rincón
678,18.43269,-66.92811999999999,Quebradillas,PR,Puerto Rico,27819,407.5,Quebradillas
680,18.16327,-67.36195,Mayaguez,PR,Puerto Rico,58140,349.6,Mayagüez
682,18.22117,-67.1538,Mayaguez,PR,Puerto Rico,32615,874.3,Mayagüez
683,18.10998,-67.0373,San German,PR,Puerto Rico,33772,249.9,San Germán
685,18.33625,-66.97225,San Sebastian,PR,Puerto Rico,42831,213.3,San Sebastián
687,18.317079999999997,-66.4203,Morovis,PR,Puerto Rico,32610,323.9,Morovis
688,18.38056,-66.62425,Sabana Hoyos,PR,Puerto Rico,13543,164.3,Arecibo
690,18.49567,-67.09825,San Antonio,PR,Puerto Rico,6255,857.7,Aguadilla
692,18.40845,-66.33691,Vega Alta,PR,Puerto Rico,37511,541.2,Vega Alta
693,18.42132,-66.40012,Vega Baja,PR,Puerto Rico,61038,599.3,Vega Baja
694,18.48329,-66.39260999999999,Vega Baja,PR,Puerto Rico,328,158.4,Vega Baja
698,18.06728,-66.85273000000001,Yauco,PR,Puerto Rico,41782,231.7,Yauco
703,18.24841,-66.13119,Aguas Buenas,PR,Puerto Rico,28605,372.2,Aguas Buenas
