,id,host_since,city_y,property_type,year
20338,20914641,2008-06-27,Culver City,Condominium,2008
2197,2519442,2008-07-11,Burbank,House,2008
19285,20993772,2008-07-31,Los Angeles,Apartment,2008
4736,6431931,2008-08-30,Marina Del Rey,Apartment,2008
14405,20709369,2008-09-17,Santa Monica,Apartment,2008
11979,10225348,2008-09-23,Los Angeles,House,2008
5408,18841477,2008-09-25,Bellflower,Apartment,2008
3889,4235547,2008-09-25,Burbank,House,2008
6787,9012988,2008-10-02,Los Angeles,House,2008
402,12854724,2008-10-02,Los Angeles,House,2008
11021,19049166,2008-10-02,Los Angeles,House,2008
16030,16095512,2008-10-02,Canyon Country,Apartment,2008
7813,9921366,2008-10-16,Studio City,Other,2008
10042,18370840,2008-10-16,Studio City,House,2008
13676,2023454,2008-10-16,Studio City,House,2008
13717,13315699,2008-12-25,West Hollywood,Apartment,2008
4841,17684031,2009-01-16,Los Angeles,House,2009
9935,6967723,2009-01-16,Los Angeles,House,2009
20145,12855566,2009-01-16,Los Angeles,House,2009
15910,17811619,2009-01-16,Los Angeles,House,2009
20855,15208609,2009-01-16,Los Angeles,House,2009
16911,13643020,2009-02-12,Santa Monica,Apartment,2009
9133,13018742,2009-02-12,Los Angeles,Apartment,2009
19828,14267804,2009-02-12,Los Angeles,House,2009
12347,15803180,2009-03-05,Los Angeles,House,2009
11138,6437565,2009-03-05,Los Angeles,House,2009
12919,16548251,2009-03-05,Los Angeles,House,2009
16070,17403713,2009-03-05,Los Angeles,Cabin,2009
14031,16930512,2009-03-09,Marina Del Rey,Apartment,2009
2872,13622777,2009-03-17,Los Angeles,House,2009
4459,1673346,2009-03-17,Los Angeles,House,2009
14919,12603543,2009-03-28,Woodland Hills,House,2009
6059,878390,2009-03-28,Woodland Hills,House,2009
10724,19768713,2009-03-28,Woodland Hills,House,2009
7822,16674313,2009-04-28,Los Angeles,Apartment,2009
18764,16097675,2009-05-09,Los Angeles,House,2009
7142,6503532,2009-05-17,Venice,House,2009
18260,9058111,2009-05-20,Los Angeles,Apartment,2009
15445,17715213,2009-05-27,Los Angeles,Apartment,2009
20314,9535225,2009-05-27,Los Angeles,House,2009
4807,10069376,2009-05-28,Culver City,Apartment,2009
10920,9728203,2009-05-28,Culver City,House,2009
7954,323635,2009-06-02,Los Angeles,House,2009
4004,3789313,2009-06-12,Valley Village,Apartment,2009
9557,8683783,2009-06-19,Los Angeles,House,2009
12786,5619212,2009-06-19,Los Angeles,Bungalow,2009
3111,75770,2009-06-20,Beverly Hills,Apartment,2009
7797,7033732,2009-06-21,Santa Monica,House,2009
13315,7322189,2009-06-21,Santa Monica,Townhouse,2009
13738,19567173,2009-06-28,Los Angeles,Loft,2009
13888,21172762,2009-07-13,Los Angeles,Cabin,2009
6105,19943741,2009-07-17,North Hollywood,Apartment,2009
7127,12738836,2009-07-17,North Hollywood,Apartment,2009
5328,19996712,2009-07-17,North Hollywood,Apartment,2009
20661,5252017,2009-07-17,North Hollywood,Apartment,2009
11886,6054817,2009-07-17,North Hollywood,Apartment,2009
2167,17498061,2009-07-22,Venice,Dorm,2009
446,17719455,2009-07-22,Los Angeles,Apartment,2009
308,5327035,2009-07-22,Los Angeles,Dorm,2009
5664,18344553,2009-07-22,Venice,Dorm,2009
4505,16861746,2009-07-22,Venice,Dorm,2009
5697,2711179,2009-07-22,Venice,Dorm,2009
311,20267865,2009-07-22,Los Angeles,Loft,2009
92,14199379,2009-07-22,Los Angeles,Loft,2009
12499,4217821,2009-07-22,Los Angeles,Loft,2009
20571,3977417,2009-07-22,Los Angeles,Dorm,2009
10603,15275381,2009-07-22,Los Angeles,House,2009
13818,13469377,2009-07-22,Venice,Dorm,2009
11671,13204166,2009-07-22,Venice,Dorm,2009
2090,16412449,2009-07-22,Los Angeles,Apartment,2009
18246,8697430,2009-07-22,Venice,Dorm,2009
11060,6885767,2009-07-22,Venice,Dorm,2009
7219,2440357,2009-07-22,Los Angeles,Apartment,2009
15071,13624184,2009-07-25,Los Angeles,House,2009
824,6766169,2009-07-25,Los Angeles,Guesthouse,2009
20289,8825588,2009-07-29,Long Beach,Loft,2009
13480,11592012,2009-08-07,Venice,Apartment,2009
16790,10457791,2009-08-07,Venice,Apartment,2009
15320,10437887,2009-08-08,Venice,House,2009
6225,10141109,2009-08-12,Redondo Beach,House,2009
3008,4240663,2009-08-12,Redondo Beach,House,2009
