,property_type,review_scores_rating,population,number_of_reviews,log_price,price,year
8,Apartment,93.61943925,39910.19252,33.8328972,4.622594606,101.7573946,2014.105421
9,Other,93.93548387,41136.3871,39.54838710000001,4.64989571,104.5737519,2013.5322579999997
10,Bungalow,95.90909091,47805.78788,37.47474747,4.677210542,107.46953329999998,2013.818182
11,House,95.14396456,46312.785710000004,38.803433,4.690391127,108.89542,2013.5802879999999
12,Guest suite,95.5,37993.5,48.0,4.698488296,109.7807435,2014.25
13,Guesthouse,97.4,43477.752,32.256,4.698772407,109.81193780000001,2013.9679999999998
14,Townhouse,95.40243902,44590.951219999995,20.62195122,4.720422366,112.2152824,2014.256098
15,Condominium,96.34523809999999,39514.440480000005,21.17857143,4.755158963,116.1817487,2014.4761899999999
16,Loft,95.27388535,21238.38854,36.69426752,4.816486612,123.5299173,2013.55414
17,Serviced apartment,97.33333333,28843.0,8.333333332999999,4.894256728,133.5202879,2015.0
