city_y,review_scores_rating
La Crescenta,98.0
Culver City,98.0
Huntington Park,98.0
Woodland Hills,98.0
Studio City,98.0
Claremont,98.0
Topanga,98.0
Diamond Bar,98.0
Downey,98.0
Castaic,98.0
South Pasadena,98.0
La Habra,97.5
Harbor City,97.5
Valencia,97.0
North Hollywood,97.0
Northridge,97.0
Palos Verdes Peninsula,97.0
Panorama City,97.0
West Hollywood,97.0
Van Nuys,97.0
Stevenson Ranch,97.0
Pico Rivera,97.0
Playa Del Rey,97.0
Porter Ranch,97.0
Redondo Beach,97.0
Signal Hill,97.0
Tujunga,97.0
San Pedro,97.0
Valley Village,97.0
San Fernando,97.0
Agoura Hills,97.0
El Segundo,97.0
Manhattan Beach,97.0
Cerritos,97.0
Long Beach,97.0
Malibu,97.0
La Mirada,97.0
Hermosa Beach,97.0
Glendale,97.0
Duarte,96.5
Hawaiian Gardens,96.5
Sylmar,96.5
Azusa,96.5
Calabasas,96.5
Venice,96.0
Beverly Hills,96.0
Gardena,96.0
El Monte,96.0
Rosemead,96.0
Reseda,96.0
La Canada Flintridge,96.0
Rowland Heights,96.0
Pomona,96.0
Bell Gardens,96.0
Temple City,96.0
Los Angeles,96.0
Carson,96.0
Arcadia,96.0
Marina Del Rey,96.0
Altadena,96.0
