neighbourhood,id,price,review_scores_rating,population,number_of_reviews,house_price,latitude,longitude
Alhambra,11339362.43,79.93650794,93.96825397,44908.2381,25.6984127,664700,34.08516924,-118.1342784
Alondra Park,18638549,195,100,34924,1,650300,33.88758085,-118.3414336
Altadena,11512800.92,143.7294118,96.4,36109.85882,19.35294118,830800,34.18957377,-118.1325238
Arcadia,10290817.91,118.8867925,90.98113208,33765.4717,11.73584906,1065000,34.13241265,-118.0372424
Arleta,14981316,35,97,69817,7,515800,34.25026268,-118.4508725
Arts District,11034472.82,130.5454545,94.25,20810.34091,25.65909091,615600,34.04491332,-118.2345041
Atwater Village,11912719.61,124.5081967,94.75409836,28514,36.59016393,990400,34.11691756,-118.2605497
Azusa,13747099.17,71.33333333,96,59705,9.666666667,470200,34.13842435,-117.9087967
Baldwin Hills,11373806.61,153.1666667,93.72222222,36568.38889,13.94444444,973000,34.0136559,-118.357532
Baldwin Park,14345192,70,100,76571,5.5,470300,34.08114133,-117.9746941
Bel Air/Beverly Crest,10348998.46,420.9091026,94.74358974,20042.15385,17.91025641,3273000,34.1011594,-118.4205372
Bell,4481427,62,96,101279,103,445900,33.97119436,-118.1880057
Bellflower,11576127.6,90.6,93.6,76615,8.2,523700,33.89599643,-118.1254872
Beverly Hills,11513872.21,214.5121605,94.2345679,14062.54321,19.32098765,3453900,34.06763217,-118.3940497
Boyle Heights,12621631.67,70.4047619,91.30952381,49792.35714,27.57142857,451500,34.0478632,-118.2148813
Bradbury,8657706.75,350.2475,91,1391,29.5,3300000,34.14692788,-117.9690607
Brentwood,11263810.85,169.2499038,94.82692308,34767.32692,21.01923077,2580000,34.05249271,-118.469429
Burbank,11549085.14,107.261194,96.39552239,24490.29104,33.82089552,832500,34.1733923,-118.3270708
Cahuenga Pass,11592541.94,277.061875,96.46875,24562.0625,29.546875,1776300,34.12966186,-118.3559741
Canoga Park,11927647.5,83.6875,92.6875,37082,15.5,538100,34.20848586,-118.6070501
Carson,10097427.82,73.72727273,96.81818182,48725.27273,54.45454545,555100,33.83186375,-118.2611751
Cerritos,13901003.08,95.83333333,95.83333333,42146.25,26.5,733700,33.85743015,-118.0688467
Chatsworth,11529274,113.5,90.5,42858,11.66666667,644200,34.24795014,-118.5952038
Commerce,8381377,79,96,12520,14,464200,34.00609482,-118.1579924
Compton,12020847.75,55.25,99,47151.25,13.5,416200,33.90010261,-118.2264274
Covina,10862243.73,48.18181818,95.72727273,23365.45455,27.18181818,534300,34.08629573,-117.8834302
Culver City,11363426.8,123.976,96.496,28613.376,38.36,1148600,34.00819168,-118.403212
Cypress Park,8806168.818,88.63636364,95.54545455,45527,39.63636364,666600,34.09314454,-118.2275081
Del Rey,11276175.99,130.6094675,93.59171598,46105.95266,33.71005917,585400,33.98985416,-118.4254845
Downey,11204955.56,66.44444444,98.66666667,37135.33333,28.77777778,577500,33.94227752,-118.1279059
Downtown,10324810.26,169.4820521,94.60912052,16111.86645,30.62214984,615600,34.04579924,-118.253843
Duarte,8860119.2,70.6,97.6,26074,5.4,527400,34.13949503,-117.9604092
Eagle Rock,10687521.32,106.2738095,95.23809524,33727.42857,46.1547619,891600,34.13371888,-118.2054978
East Hollywood,11404116.49,96.81118881,93.17482517,41993.81119,27.06993007,882400,34.09335725,-118.2955357
East Los Angeles,11659585.74,89.47368421,95.89473684,57207.47368,33.31578947,462300,34.04038798,-118.175738
East San Gabriel,10256698.4,117,94,23988,20.4,764300,34.12124892,-118.0752645
Echo Park,11214753.55,123.4942197,95.44508671,63919.18208,36.8150289,878300,34.08012682,-118.2574386
El Monte,10170370.93,78.53333333,95.2,50787.66667,30.13333333,507200,34.07282786,-118.0231792
El Segundo,11519911.96,121.6666667,94.82352941,17016.37255,40.7254902,1254700,33.92100912,-118.4137897
El Sereno,12084242.88,90.61538462,93.46153846,45786,25.23076923,612100,34.08386709,-118.17548
Elysian Valley,11541450.79,124,98.14285714,32371.85714,23.28571429,722700,34.09818889,-118.241643
Encino,8943052.759,263.4437037,96.12962963,21541.92593,16.35185185,984000,34.15998463,-118.5032401
Florence-Graham,16110176.5,77,92.5,57110,8,380300,33.97959056,-118.2413976
Gardena,11988310.98,57.44186047,93.25581395,42256.72093,17.37209302,564600,33.89514861,-118.303438
Glassell Park,11093607.08,115.4473684,96.55263158,45527,23.15789474,808400,34.11343772,-118.2317104
Glendale,11694929.04,136.3873239,95.43661972,24741.20423,26.04225352,854100,34.16219198,-118.2549114
Glendora,13765921.92,127.5833333,97.5,25824,13.5,609600,34.14011213,-117.8668862
Granada Hills North,10906034.27,113,92.53333333,50458.33333,26.66666667,649800,34.27166195,-118.5010957
Harbor City,9590521,88.28571429,97.71428571,24865.71429,34.42857143,565300,33.7972557,-118.3031659
Harbor Gateway,12012043.38,74.8125,96.25,37993.9375,23.875,552900,33.83851822,-118.3049616
Hawaiian Gardens,12623807.5,107.5,96.5,14184,18.5,427600,33.82971583,-118.0754881
Hawthorne,10956174.74,93.48717949,91.12820513,84854.51282,26.48717949,653700,33.92028089,-118.3621219
Hermon,14439264.27,88.27272727,95.54545455,62430,13.72727273,730100,34.10546751,-118.1822133
Hermosa Beach,12274958.15,278.4304615,95.53846154,20062.83077,23.66153846,1602600,33.86291539,-118.3973096
Highland Park,11282004.24,99.51798561,96.36690647,62430,29.05755396,796400,34.11700044,-118.1940035
Hollywood,11242570.61,125.8551402,93.11121495,34053.7028,34.23084112,882400,34.09789096,-118.3311076
Hollywood Hills,11818955.66,227.6359948,95.14397906,27389.18325,31.17801047,1776300,34.11207947,-118.3326115
Huntington Park,8327410.667,46.33333333,98,75066,48,442500,33.9829492,-118.2263733
Inglewood,12069044.33,61,93.14473684,28049.82895,19.36842105,562900,33.96393893,-118.3479532
La Canada Flintridge,10527062.1,195.8,95.3,20280,45.6,1737400,34.20452191,-118.1985443
La Crescenta-Montrose,11500352.25,122.5,94,27613.375,11.125,895100,34.22565179,-118.2354151
La Mirada,13183647.1,83,95.1,49012,25.5,583200,33.90794568,-118.0039847
La Puente,6516066,37.5,96.5,57762.5,4.5,473200,34.0353244,-117.9615616
Lake Balboa,9626293.867,82.33333333,95.26666667,51079.46667,33,595600,34.19562402,-118.4940359
Lakewood,8710153.857,72.85714286,94.07142857,30958.78571,20,587000,33.85083807,-118.1292708
Laurel Canyon,11794556.83,357.7348039,95.89215686,40041.41176,31.11764706,2400000,34.10537814,-118.3775664
