property_type,review_scores_rating,population,number_of_reviews,log_price,price,year
Hostel,90.375,59749.20833,12.04166667,2.822717202,16.82246681,2016.083333
Dorm,88.70588235,49969,37.76470588,3.262158059,26.105757,2013.588235
Tent,94.5,42346.33333,42.83333333,3.800619166,44.72875617,2014.833333
Camper/RV,94.46153846,51082.84615,45.61538462,4.166292419,64.47577791,2013.769231
Bed & Breakfast,93.38709677,43510.93548,42.20967742,4.209909564,67.35025793,2013.854839
In-law,97,48581,75,4.49980967,89.99972759,2012
Cabin,96.36842105,47657.15789,85.73684211,4.592791165,98.76942322,2011.736842
Boutique hotel,89,23768,10,4.59511985,98.999694,2016
Apartment,93.61943925,39910.19252,33.8328972,4.622594606,101.7573946,2014.105421
Other,93.93548387,41136.3871,39.5483871,4.64989571,104.5737519,2013.532258
Bungalow,95.90909091,47805.78788,37.47474747,4.677210542,107.4695333,2013.818182
House,95.14396456,46312.78571,38.803433,4.690391127,108.89542,2013.580288
Guest suite,95.5,37993.5,48,4.698488296,109.7807435,2014.25
Guesthouse,97.4,43477.752,32.256,4.698772407,109.8119378,2013.968
Townhouse,95.40243902,44590.95122,20.62195122,4.720422366,112.2152824,2014.256098
Condominium,96.3452381,39514.44048,21.17857143,4.755158963,116.1817487,2014.47619
Loft,95.27388535,21238.38854,36.69426752,4.816486612,123.5299173,2013.55414
Serviced apartment,97.33333333,28843,8.333333333,4.894256728,133.5202879,2015
Castle,98.33333333,39439.66667,31.33333333,5.37439423,215.8083219,2015
Treehouse,97.5,35903.5,33.5,5.789356603,326.8014201,2011
Villa,94.5,31298,4.166666667,5.989443468,399.1907767,2015.333333
